fund_name,stock_url,Stock_Invested_in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest_Holding,1Y_Lowest_Holding,Quantity,1M_Change_in_Qty,Stock Invested in,1Y_Highest Holding,1Y_Lowest Holding,1m_change1
PGIM India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,Blue Dart Express Ltd.,Logistics solution provider,418.7,2.37%,0.41%,2.37% (Aug 2023),0% (Sep 2022),66.65 k,0.00,,,,0.41
Invesco India Smallcap Fund - Direct - Growth,https://www.moneycontrol.com/india/stockpricequote/household-personal-products/safariindustriesindia/SII01,Safari Industries (India) Ltd.,Plastic products - consumer,654.3,2.37%,0.12%,2.37% (Sep 2023),0.8% (Nov 2022),1.67 L,5.74 k,,,,0.12
Tata Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/gokaldasexports/GE05,Gokaldas Exports Ltd.,Garments & apparels,1427.2,2.37%,1.08%,2.37% (Aug 2023),1.26% (Jun 2023),18.07 L,4.41 L,,,,1.08
Invesco India Smallcap Fund - Direct - Growth,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/triveniturbine/TT14,Triveni Turbine Ltd.,Heavy electrical equipment,650.4,2.36%,0.29%,2.44% (Apr 2023),1.59% (Oct 2022),14.84 L,86.59 k,,,,0.29
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/consumer-food/mrsbectorsfoodspecialities/MBF01,Mrs.Bectors Food Specialities Ltd.,Packaged foods,619.7,2.35%,0.17%,2.35% (Aug 2023),0% (Sep 2022),5.77 L,0.00,,,,0.17
Aditya Birla Sun Life Small cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/retailing/gofashionindia/GFI04,Go Fashion (India) Ltd.,Speciality retail,1054.9,2.34%,0.11%,2.46% (Apr 2023),1.18% (Nov 2022),7.84 L,0.00,,,,0.11
LIC MF Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/narayanahrudayalaya/NH,Narayana Hrudayalaya Ltd.,Hospital,39.6,2.33%,0.10%,3.67% (Jul 2023),2.23% (Aug 2023),36.52 k,0.00,,,,0.1
Union Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/prajindustries/PI17,Praj Industries Ltd.,Industrial products,254.9,2.31%,0.31%,2.31% (Sep 2023),1.43% (Jan 2023),4.35 L,0.00,,,,0.31
HDFC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,5214.7,2.31%,0.03%,2.57% (Jun 2023),2.11% (Dec 2022),19.26 L,-0.50 L,,,,0.03
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/mahindralifespacedevelopers/MLD,Mahindra Lifespace Developers Ltd.,"Residential, commercial projects",1616.6,2.31%,0.05%,2.79% (Sep 2022),1.98% (Dec 2022),28.49 L,0.00,,,,0.05
